iter	Passed	Remaining
621	1483	901
622	1486	899
623	1489	897
624	1491	894
625	1493	892
626	1495	889
627	1496	886
628	1498	884
629	1500	881
630	1504	879
631	1506	877
632	1508	874
633	1510	872
634	1512	869
635	1515	867
636	1517	864
637	1521	863
638	1523	860
639	1526	858
640	1528	856
641	1530	853
642	1532	851
643	1536	849
644	1538	847
645	1540	844
646	1543	841
647	1545	839
648	1547	836
649	1550	834
650	1554	833
651	1557	831
652	1559	828
653	1562	826
654	1564	824
655	1569	823
656	1572	820
657	1575	818
658	1578	816
659	1580	814
660	1585	813
661	1588	811
662	1591	808
663	1593	806
664	1595	803
665	1600	802
666	1603	800
667	1605	798
668	1608	795
669	1610	793
670	1613	791
671	1616	789
672	1619	786
673	1623	785
674	1626	782
675	1629	780
676	1632	778
677	1635	776
678	1637	774
679	1640	771
680	1642	769
681	1645	767
682	1648	765
683	1653	763
684	1655	761
685	1658	759
686	1661	757
687	1664	755
688	1667	752
689	1670	750
690	1673	748
691	1676	746
692	1680	744
693	1682	741
694	1685	739
695	1687	737
696	1690	734
697	1694	733
698	1696	730
699	1698	727
700	1700	725
701	1702	722
702	1704	720
703	1706	717
704	1709	715
705	1711	712
706	1713	710
707	1714	707
708	1716	704
709	1718	701
710	1720	699
711	1722	696
712	1725	694
713	1727	691
714	1729	689
715	1731	686
716	1732	684
717	1734	681
718	1736	678
719	1738	676
720	1742	674
721	1744	671
722	1746	669
723	1748	666
724	1750	663
725	1752	661
726	1753	658
727	1756	656
728	1759	653
729	1761	651
730	1763	648
731	1765	646
732	1767	643
733	1769	641
734	1771	638
735	1774	636
736	1776	633
737	1778	631
738	1780	628
739	1782	626
740	1784	623
741	1786	621
742	1789	619
743	1791	616
744	1793	614
745	1795	611
746	1797	608
747	1799	606
748	1801	603
749	1803	601
750	1806	598
751	1807	596
752	1809	593
753	1811	591
754	1813	588
755	1815	585
756	1817	583
757	1820	581
758	1822	578
759	1824	576
760	1826	573
761	1828	570
762	1829	568
763	1831	565
764	1833	563
765	1836	561
766	1838	558
767	1840	555
768	1842	553
769	1844	550
770	1845	548
771	1847	545
772	1849	543
773	1853	541
774	1855	538
775	1857	536
776	1859	533
777	1861	531
778	1862	528
779	1864	525
780	1867	523
781	1870	521
782	1872	518
783	1874	516
784	1876	513
785	1878	511
786	1880	508
787	1881	506
788	1885	504
789	1887	501
790	1889	499
791	1890	496
792	1892	493
793	1894	491
794	1896	488
795	1898	486
796	1901	484
797	1903	481
798	1905	479
799	1907	476
800	1909	474
801	1910	471
802	1912	469
803	1915	466
804	1917	464
805	1919	462
806	1921	459
807	1923	457
808	1925	454
809	1927	452
810	1929	449
811	1932	447
812	1935	445
813	1937	442
814	1939	440
815	1941	437
816	1944	435
817	1946	433
818	1949	430
819	1951	428
820	1953	425
821	1955	423
822	1957	421
823	1959	418
824	1961	416
825	1965	414
826	1967	411
827	1969	409
828	1971	406
829	1973	404
830	1974	401
831	1976	399
832	1980	396
833	1982	394
834	1984	392
835	1986	389
836	1988	387
837	1990	384
838	1992	382
839	1995	380
840	1997	377
841	1999	375
842	2001	372
843	2003	370
844	2005	367
845	2007	365
846	2008	362
847	2013	360
848	2016	358
849	2018	356
850	2020	353
851	2022	351
852	2024	348
853	2027	346
854	2030	344
855	2032	341
856	2034	339
857	2036	336
858	2038	334
859	2039	332
860	2043	329
861	2046	327
862	2048	325
863	2050	322
864	2052	320
865	2054	317
866	2056	315
867	2060	313
868	2062	310
869	2064	308
870	2067	306
871	2069	303
872	2071	301
873	2073	298
874	2077	296
875	2079	294
876	2082	292
877	2084	289
878	2086	287
879	2088	284
880	2092	282
881	2094	280
882	2096	277
883	2098	275
884	2101	273
885	2104	270
886	2108	268
887	2111	266
888	2113	263
889	2116	261
890	2118	259
891	2122	257
892	2126	254
893	2128	252
894	2131	250
895	2134	247
896	2137	245
897	2141	243
898	2143	240
899	2146	238
900	2149	236
901	2151	233
902	2156	231
903	2159	229
904	2162	226
905	2164	224
906	2167	222
907	2188	221
908	2191	219
909	2194	217
910	2197	214
911	2201	212
912	2205	210
913	2207	207
914	2210	205
915	2212	202
916	2216	200
917	2219	198
918	2222	195
919	2225	193
920	2227	191
921	2230	188
922	2234	186
923	2238	184
924	2241	181
925	2243	179
926	2245	176
927	2251	174
928	2254	172
929	2256	169
930	2259	167
931	2261	165
932	2265	162
933	2267	160
934	2269	157
935	2271	155
936	2273	152
937	2275	150
938	2277	147
939	2279	145
940	2282	143
941	2284	140
942	2286	138
943	2288	135
944	2290	133
945	2292	130
946	2295	128
947	2298	126
948	2300	123
949	2302	121
950	2304	118
951	2306	116
952	2308	113
953	2310	111
954	2313	109
955	2315	106
956	2317	104
957	2319	101
958	2321	99
959	2323	96
960	2326	94
961	2329	92
962	2331	89
963	2333	87
964	2335	84
965	2336	82
966	2338	79
967	2340	77
968	2344	75
969	2346	72
970	2349	70
971	2351	67
972	2352	65
973	2354	62
974	2356	60
975	2360	58
976	2363	55
977	2365	53
978	2367	50
979	2368	48
980	2370	45
981	2372	43
982	2376	41
983	2379	38
984	2381	36
985	2383	33
986	2385	31
987	2387	28
988	2389	26
989	2393	24
990	2396	21
991	2398	19
992	2400	16
993	2402	14
994	2404	12
995	2406	9
996	2409	7
997	2411	4
998	2413	2
999	2415	0
